ID,medv
3,37.50033999999857
6,24.01994000000082
8,16.08231999999994
9,16.54647999999933
10,17.0890600000003
18,19.297840000000384
20,20.919180000000516
25,17.390560000000168
26,15.480139999999647
27,18.287980000000385
29,21.304059999999577
30,22.840839999999798
33,16.5679199999995
34,16.26581999999986
36,21.028000000000116
37,20.795180000000858
38,20.704819999999206
42,30.018360000000715
49,16.848639999999364
53,24.371779999999575
60,19.635499999999094
63,23.76522000000006
70,19.913079999999407
72,20.939600000000034
79,20.811260000000022
80,20.171919999999393
83,23.375699999999938
92,22.935439999999854
93,23.254779999999627
96,27.925680000000213
98,44.61753999999952
99,46.24766000000008
100,32.71721999999978
105,21.13604000000027
106,18.02312000000009
111,20.652939999999816
113,17.62856000000018
114,17.895780000000077
116,19.35969999999976
126,19.072459999999985
130,15.384279999999853
131,20.986340000000084
133,22.35972000000032
136,16.915540000000004
141,11.003059999999905
144,13.492920000000682
145,13.14706000000082
147,15.65141999999992
152,20.90832000000008
153,20.554040000000505
156,17.138460000000013
158,35.19493999999962
163,44.66368000000121
169,21.881800000000865
185,19.120660000000505
186,20.896360000000104
189,29.903340000000053
196,47.01481999999992
197,34.95377999999827
199,34.04026000000021
200,32.483079999999006
203,44.08977999999944
208,16.863300000000358
210,16.77221999999961
211,18.09958000000031
213,19.599560000000874
216,24.75317999999941
218,24.739139999999065
219,18.599980000000322
220,22.474379999999975
221,27.89345999999944
229,44.70203999999939
232,35.41850000000074
238,34.84349999999947
239,23.834239999999316
240,26.88799999999953
242,21.80195999999917
246,16.058419999999927
248,21.581680000000045
253,34.332219999999054
255,22.889160000001002
256,19.957759999999922
257,38.6751399999989
258,43.873820000000585
259,35.65034000000012
260,29.277779999998817
268,42.12892000000084
270,20.935280000000827
271,19.306480000000363
276,31.940540000000542
277,35.68440000000094
278,32.91800000000061
279,24.174020000000326
281,45.589360000000475
288,23.105020000000643
290,26.365979999999475
292,35.69625999999854
295,21.166519999999586
296,25.436339999999678
299,24.352599999999544
300,33.78581999999924
301,28.249400000000808
308,28.69177999999979
314,21.214199999999693
315,27.04725999999958
320,21.432299999999568
322,23.908780000001006
323,19.521239999999963
324,19.740800000000252
327,23.798840000000038
330,23.165239999999237
332,19.14797999999942
333,19.279120000000226
336,17.762139999999622
338,21.036839999999973
346,21.72985999999993
347,19.082380000000253
351,24.365319999999368
352,27.3429
354,29.670260000000457
355,19.117220000000383
356,21.779000000000668
362,19.889880000000254
364,19.01201999999991
365,44.02082000000019
370,44.514799999999724
376,27.483640000000182
379,12.623260000000489
380,13.47014000000029
381,19.95732000000014
382,10.485979999999902
386,13.0555200000008
389,12.661740000000073
391,15.799819999999333
394,18.06027999999992
396,15.078419999999905
398,12.640000000000056
400,14.597040000000073
403,11.765440000000005
405,13.935319999999717
406,14.507720000000118
407,14.96634000000032
410,15.856600000000093
411,27.113120000001015
412,10.25942000000035
413,8.72414000000012
417,10.2281800000002
421,18.018159999999913
422,18.268859999999655
423,20.488819999999496
424,13.773519999999996
427,18.171739999999787
431,15.211019999999705
436,14.793959999999974
437,15.04391999999978
439,8.512059999999936
447,16.568499999999776
450,16.176519999999854
451,15.327759999999534
455,16.249999999999584
457,17.210419999999843
471,17.24891999999994
474,24.77790000000027
476,16.63491999999975
483,30.639300000000006
486,21.859520000000035
490,13.982439999999816
495,20.35244000000071
496,17.126440000000162
497,17.18363999999972
499,20.499460000000155
501,20.03688000000015
505,28.619459999999265
